ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_2_length_8455_cov_181.481868,nomatch,,,,,,,,
NODE_3_length_605_cov_17.401674,nomatch,,,,,,,,
NODE_4_length_147_cov_13.800000,nomatch,,,,,,,,
NODE_5_length_145_cov_14.222222,nomatch,,,,,,,,
NODE_6_length_141_cov_19.071429,nomatch,,,,,,,,
NODE_7_length_139_cov_16.916667,nomatch,,,,,,,,
NODE_8_length_136_cov_30.333333,nomatch,,,,,,,,
NODE_9_length_135_cov_80.750000,nomatch,,,,,,,,
NODE_10_length_135_cov_44.375000,nomatch,,,,,,,,
NODE_11_length_133_cov_81.500000,nomatch,,,,,,,,
NODE_12_length_130_cov_299.333333,nomatch,,,,,,,,
