ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_526479_cov_7.662935,nomatch,,,,,,,,
NODE_2_length_468926_cov_7.702143,nomatch,,,,,,,,
NODE_3_length_391295_cov_7.557252,nomatch,,,,,,,,
NODE_4_length_375044_cov_7.629694,nomatch,,,,,,,,
NODE_5_length_353181_cov_7.647201,nomatch,,,,,,,,
NODE_6_length_329090_cov_7.678189,nomatch,,,,,,,,
NODE_7_length_326971_cov_7.669683,nomatch,,,,,,,,
NODE_8_length_317616_cov_7.681649,nomatch,,,,,,,,
NODE_9_length_316192_cov_7.625549,nomatch,,,,,,,,
NODE_10_length_304361_cov_7.699570,nomatch,,,,,,,,
NODE_11_length_304024_cov_7.637923,nomatch,,,,,,,,
NODE_12_length_298397_cov_7.703038,nomatch,,,,,,,,
NODE_13_length_296430_cov_7.539282,nomatch,,,,,,,,
NODE_14_length_279133_cov_7.609736,nomatch,,,,,,,,
NODE_15_length_275379_cov_7.664021,nomatch,,,,,,,,
NODE_16_length_275060_cov_7.634998,nomatch,,,,,,,,
NODE_17_length_269985_cov_7.651961,nomatch,,,,,,,,
NODE_18_length_269425_cov_7.606752,nomatch,,,,,,,,
NODE_19_length_268092_cov_7.586610,nomatch,,,,,,,,
NODE_20_length_267771_cov_7.544227,nomatch,,,,,,,,
NODE_21_length_267220_cov_7.506168,nomatch,,,,,,,,
NODE_22_length_267147_cov_7.550386,nomatch,,,,,,,,
NODE_23_length_262331_cov_7.606001,nomatch,,,,,,,,
NODE_24_length_256252_cov_7.569570,nomatch,,,,,,,,
NODE_25_length_254333_cov_7.625190,nomatch,,,,,,,,
NODE_26_length_245048_cov_7.636291,nomatch,,,,,,,,
NODE_27_length_240705_cov_7.606003,nomatch,,,,,,,,
NODE_28_length_236571_cov_7.620523,nomatch,,,,,,,,
NODE_29_length_234911_cov_7.200188,nomatch,,,,,,,,
NODE_30_length_229830_cov_7.580767,nomatch,,,,,,,,
NODE_31_length_229190_cov_7.694211,nomatch,,,,,,,,
NODE_32_length_225376_cov_7.492357,nomatch,,,,,,,,
NODE_33_length_223245_cov_7.664635,nomatch,,,,,,,,
NODE_34_length_222848_cov_7.608718,nomatch,,,,,,,,
NODE_35_length_215266_cov_7.497483,nomatch,,,,,,,,
NODE_36_length_214378_cov_7.777723,nomatch,,,,,,,,
NODE_37_length_213448_cov_7.535700,nomatch,,,,,,,,
NODE_38_length_212009_cov_7.634174,nomatch,,,,,,,,
NODE_39_length_209550_cov_7.617664,nomatch,,,,,,,,
NODE_40_length_209306_cov_7.544548,nomatch,,,,,,,,
NODE_41_length_208707_cov_7.722802,nomatch,,,,,,,,
NODE_42_length_207682_cov_7.429876,nomatch,,,,,,,,
NODE_43_length_207397_cov_7.647744,nomatch,,,,,,,,
NODE_44_length_203891_cov_7.539899,nomatch,,,,,,,,
NODE_45_length_197512_cov_7.566771,nomatch,,,,,,,,
NODE_46_length_193116_cov_7.454212,nomatch,,,,,,,,
split1_NODE_47_length_189391_cov_7.692673,nomatch,,,,,,,,
split2_NODE_47_length_189391_cov_7.692673,nomatch,,,,,,,,
NODE_48_length_182584_cov_7.718536,nomatch,,,,,,,,
NODE_49_length_181176_cov_7.524963,nomatch,,,,,,,,
NODE_50_length_179171_cov_7.621395,nomatch,,,,,,,,
NODE_51_length_174626_cov_7.645465,nomatch,,,,,,,,
NODE_52_length_173816_cov_7.605669,nomatch,,,,,,,,
NODE_53_length_173434_cov_7.678143,nomatch,,,,,,,,
NODE_54_length_172497_cov_7.585914,nomatch,,,,,,,,
NODE_55_length_171802_cov_7.351461,nomatch,,,,,,,,
NODE_56_length_171629_cov_7.587807,nomatch,,,,,,,,
NODE_57_length_171071_cov_7.585648,nomatch,,,,,,,,
NODE_58_length_169206_cov_7.480704,nomatch,,,,,,,,
NODE_59_length_169136_cov_7.564940,nomatch,,,,,,,,
NODE_60_length_167759_cov_7.573107,nomatch,,,,,,,,
NODE_61_length_167598_cov_7.591261,nomatch,,,,,,,,
NODE_62_length_166572_cov_7.724480,nomatch,,,,,,,,
NODE_63_length_165088_cov_7.671577,nomatch,,,,,,,,
NODE_64_length_164875_cov_7.336186,nomatch,,,,,,,,
NODE_65_length_163974_cov_7.710620,nomatch,,,,,,,,
NODE_66_length_162373_cov_7.559989,nomatch,,,,,,,,
NODE_67_length_161255_cov_7.687907,nomatch,,,,,,,,
NODE_68_length_158545_cov_7.558535,nomatch,,,,,,,,
NODE_69_length_156970_cov_7.652991,nomatch,,,,,,,,
NODE_70_length_156934_cov_7.720778,nomatch,,,,,,,,
NODE_71_length_154841_cov_7.596837,nomatch,,,,,,,,
NODE_72_length_153933_cov_7.635911,nomatch,,,,,,,,
NODE_73_length_151681_cov_7.687709,nomatch,,,,,,,,
NODE_74_length_150968_cov_7.570607,nomatch,,,,,,,,
NODE_75_length_150959_cov_7.538069,nomatch,,,,,,,,
NODE_76_length_147361_cov_7.679782,nomatch,,,,,,,,
NODE_77_length_146901_cov_7.692589,nomatch,,,,,,,,
NODE_78_length_146590_cov_7.624711,nomatch,,,,,,,,
NODE_79_length_144336_cov_7.584721,nomatch,,,,,,,,
NODE_80_length_143823_cov_7.658961,nomatch,,,,,,,,
NODE_81_length_143162_cov_7.563093,nomatch,,,,,,,,
NODE_82_length_142690_cov_7.650562,nomatch,,,,,,,,
NODE_83_length_141319_cov_7.708985,nomatch,,,,,,,,
NODE_84_length_139137_cov_7.577663,nomatch,,,,,,,,
NODE_85_length_138510_cov_7.542856,nomatch,,,,,,,,
NODE_86_length_138215_cov_7.492642,nomatch,,,,,,,,
NODE_87_length_137198_cov_7.557084,nomatch,,,,,,,,
NODE_88_length_136964_cov_7.572674,nomatch,,,,,,,,
NODE_89_length_136415_cov_7.603428,nomatch,,,,,,,,
NODE_90_length_135732_cov_7.545452,nomatch,,,,,,,,
NODE_91_length_132538_cov_7.459131,nomatch,,,,,,,,
NODE_92_length_132401_cov_7.478900,nomatch,,,,,,,,
NODE_93_length_131955_cov_7.523030,nomatch,,,,,,,,
NODE_94_length_130687_cov_7.652168,nomatch,,,,,,,,
NODE_95_length_130065_cov_7.673036,nomatch,,,,,,,,
NODE_96_length_129942_cov_7.462435,nomatch,,,,,,,,
NODE_97_length_129560_cov_7.594647,nomatch,,,,,,,,
NODE_98_length_129276_cov_7.409767,nomatch,,,,,,,,
NODE_99_length_127977_cov_7.649261,nomatch,,,,,,,,
NODE_100_length_127469_cov_7.750122,nomatch,,,,,,,,
NODE_101_length_127098_cov_7.669436,nomatch,,,,,,,,
NODE_102_length_126603_cov_7.699271,nomatch,,,,,,,,
NODE_103_length_126408_cov_7.400789,nomatch,,,,,,,,
NODE_104_length_126051_cov_7.765120,nomatch,,,,,,,,
NODE_105_length_126015_cov_7.529336,nomatch,,,,,,,,
NODE_106_length_124290_cov_7.568197,nomatch,,,,,,,,
NODE_107_length_122634_cov_7.583686,nomatch,,,,,,,,
NODE_108_length_121306_cov_7.542280,nomatch,,,,,,,,
NODE_109_length_120811_cov_7.553719,nomatch,,,,,,,,
NODE_110_length_120380_cov_7.654262,nomatch,,,,,,,,
NODE_111_length_120263_cov_7.486099,nomatch,,,,,,,,
NODE_112_length_119124_cov_7.688673,nomatch,,,,,,,,
NODE_113_length_118761_cov_7.384999,nomatch,,,,,,,,
NODE_114_length_118150_cov_7.604484,nomatch,,,,,,,,
NODE_115_length_117939_cov_7.695770,nomatch,,,,,,,,
NODE_116_length_117710_cov_7.445923,nomatch,,,,,,,,
NODE_117_length_117658_cov_6.391837,nomatch,,,,,,,,
NODE_118_length_117632_cov_7.598034,nomatch,,,,,,,,
NODE_119_length_117537_cov_7.590784,nomatch,,,,,,,,
NODE_120_length_116059_cov_7.430597,nomatch,,,,,,,,
NODE_121_length_113994_cov_7.658567,nomatch,,,,,,,,
NODE_122_length_112863_cov_7.602061,nomatch,,,,,,,,
NODE_123_length_112579_cov_7.637712,nomatch,,,,,,,,
NODE_124_length_112513_cov_7.736106,nomatch,,,,,,,,
NODE_125_length_111456_cov_7.665783,nomatch,,,,,,,,
NODE_126_length_111298_cov_7.664139,nomatch,,,,,,,,
NODE_127_length_110732_cov_7.650558,nomatch,,,,,,,,
NODE_128_length_110266_cov_7.753357,nomatch,,,,,,,,
NODE_129_length_110059_cov_7.581059,nomatch,,,,,,,,
NODE_130_length_109170_cov_7.794375,nomatch,,,,,,,,
NODE_131_length_108042_cov_7.651735,nomatch,,,,,,,,
NODE_132_length_107081_cov_7.482432,nomatch,,,,,,,,
NODE_133_length_105525_cov_7.776903,nomatch,,,,,,,,
NODE_134_length_105206_cov_7.679965,nomatch,,,,,,,,
NODE_135_length_105068_cov_7.586434,nomatch,,,,,,,,
NODE_136_length_104923_cov_7.608945,nomatch,,,,,,,,
NODE_137_length_104500_cov_7.528968,nomatch,,,,,,,,
NODE_138_length_104453_cov_7.589479,nomatch,,,,,,,,
NODE_139_length_104147_cov_7.573851,nomatch,,,,,,,,
NODE_140_length_104076_cov_7.467181,nomatch,,,,,,,,
NODE_141_length_103959_cov_7.626685,nomatch,,,,,,,,
NODE_142_length_102847_cov_7.627385,nomatch,,,,,,,,
NODE_143_length_102704_cov_7.517133,nomatch,,,,,,,,
NODE_144_length_101626_cov_7.717761,nomatch,,,,,,,,
NODE_145_length_99868_cov_7.693456,nomatch,,,,,,,,
NODE_146_length_99529_cov_7.342870,nomatch,,,,,,,,
NODE_147_length_98401_cov_7.570975,nomatch,,,,,,,,
NODE_148_length_98078_cov_7.395637,nomatch,,,,,,,,
NODE_149_length_98071_cov_7.696214,nomatch,,,,,,,,
NODE_150_length_97807_cov_7.617342,nomatch,,,,,,,,
