ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_2_length_8455_cov_320.024856,nomatch,,,,,,,,
NODE_3_length_5856_cov_76.865596,nomatch,,,,,,,,
NODE_4_length_4196_cov_19.197592,nomatch,,,,,,,,
NODE_5_length_605_cov_27.552301,nomatch,,,,,,,,
NODE_6_length_148_cov_12.809524,nomatch,,,,,,,,
NODE_7_length_143_cov_58.500000,nomatch,,,,,,,,
NODE_8_length_137_cov_17.300000,nomatch,,,,,,,,
NODE_9_length_135_cov_48.000000,nomatch,,,,,,,,
NODE_10_length_135_cov_45.000000,nomatch,,,,,,,,
NODE_11_length_135_cov_33.375000,nomatch,,,,,,,,
NODE_12_length_133_cov_158.333333,nomatch,,,,,,,,
NODE_13_length_131_cov_38.000000,nomatch,,,,,,,,
NODE_14_length_130_cov_520.333333,nomatch,,,,,,,,
