ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_404556_cov_5.196845,nomatch,,,,,,,,
NODE_2_length_396307_cov_5.206043,nomatch,,,,,,,,
NODE_3_length_390578_cov_5.259113,nomatch,,,,,,,,
NODE_4_length_380960_cov_5.058944,nomatch,,,,,,,,
NODE_5_length_367617_cov_5.101393,nomatch,,,,,,,,
NODE_6_length_356810_cov_5.139152,nomatch,,,,,,,,
NODE_7_length_347590_cov_5.199846,nomatch,,,,,,,,
NODE_8_length_339704_cov_5.103968,nomatch,,,,,,,,
NODE_9_length_322516_cov_5.120088,nomatch,,,,,,,,
NODE_10_length_318538_cov_5.175600,nomatch,,,,,,,,
NODE_11_length_313509_cov_5.184886,nomatch,,,,,,,,
NODE_12_length_303798_cov_5.111545,nomatch,,,,,,,,
NODE_13_length_300173_cov_5.082181,nomatch,,,,,,,,
NODE_14_length_291334_cov_5.143671,nomatch,,,,,,,,
NODE_15_length_291310_cov_5.161373,nomatch,,,,,,,,
NODE_16_length_290733_cov_5.164687,nomatch,,,,,,,,
NODE_17_length_287959_cov_5.092870,nomatch,,,,,,,,
NODE_18_length_285715_cov_5.096590,nomatch,,,,,,,,
NODE_19_length_285109_cov_5.216298,nomatch,,,,,,,,
NODE_20_length_275682_cov_5.078032,nomatch,,,,,,,,
NODE_21_length_271897_cov_5.151496,nomatch,,,,,,,,
NODE_22_length_267833_cov_5.214866,nomatch,,,,,,,,
NODE_23_length_265291_cov_5.114978,nomatch,,,,,,,,
NODE_24_length_264806_cov_5.132368,nomatch,,,,,,,,
NODE_25_length_259969_cov_5.081261,nomatch,,,,,,,,
split1_NODE_26_length_258326_cov_5.092611,nomatch,,,,,,,,
split2_NODE_26_length_258326_cov_5.092611,nomatch,,,,,,,,
NODE_27_length_252541_cov_5.130559,nomatch,,,,,,,,
NODE_28_length_251257_cov_5.164951,nomatch,,,,,,,,
NODE_29_length_244634_cov_5.116716,nomatch,,,,,,,,
NODE_30_length_243436_cov_5.112322,nomatch,,,,,,,,
NODE_31_length_235619_cov_5.065939,nomatch,,,,,,,,
NODE_32_length_229075_cov_5.128073,nomatch,,,,,,,,
NODE_33_length_225351_cov_5.257948,nomatch,,,,,,,,
NODE_34_length_224290_cov_5.182367,nomatch,,,,,,,,
NODE_35_length_218166_cov_5.179761,nomatch,,,,,,,,
NODE_36_length_217994_cov_5.090886,nomatch,,,,,,,,
NODE_37_length_216251_cov_5.138814,nomatch,,,,,,,,
NODE_38_length_216166_cov_5.195719,nomatch,,,,,,,,
NODE_39_length_215489_cov_5.107113,nomatch,,,,,,,,
NODE_40_length_212884_cov_5.200290,nomatch,,,,,,,,
NODE_41_length_206856_cov_5.149737,nomatch,,,,,,,,
NODE_42_length_206357_cov_5.106279,nomatch,,,,,,,,
